"DisplayName","InstallLocation"
"NVIDIA ShadowPlay 11.0.4.0","C:\Program Files\NVIDIA Corporation\NVIDIA App\ShadowPlay"
"CUDA CCCL","C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.5"
"NVIDIA USBC Driver 1.52.831.832","C:\Program Files\NVIDIA Corporation\Installer2\USBC.{DC0DFC83-C7A3-48EF-91FA-19EED37AF759}"
"NVIDIA Virtual Audio 4.65.0.3","C:\Program Files\NVIDIA Corporation\Installer2\VirtualAudio.Driver.{12D3BED0-154E-4AB6-8C6C-2BC0AA79727E}"
"Visual Profiler","C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.5"
"NVIDIA CUDA Visual Studio Integration 11.8","C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v11.8"
"NVIDIA CUDA Visual Studio Integration 12.5","C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.5"
"NVIDIA Tools Extension SDK (NVTX) - 64 bit",""
"vs_minshellinteropx64msi",""
"Node.js",""
"Inkscape","C:\Program Files\Inkscape\"
"Microsoft.NET.Workload.Mono.Toolchain.Current.Manifest (x64)",""
"Microsoft ASP.NET Core 8.0.17 Shared Framework (x64)",""
"Microsoft Update Health Tools",""
"Microsoft ASP.NET Core 8.0.17 Targeting Pack (x64)",""
"NVIDIA Nsight Systems 2024.2.3",""
"Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030",""
"Microsoft.NET.Sdk.tvOS.Manifest-9.0.100 (x64)",""
"Microsoft .NET Toolset 9.0.300 (x64)",""
"Microsoft Visual C++ 2022 X64 Debug Runtime - 14.44.35208",""
"Microsoft.NET.Sdk.Maui.Manifest-9.0.100 (x64)",""
"Microsoft .NET AppHost Pack - 9.0.6 (x64_x86)",""
"Java(TM) SE Development Kit 17.0.12 (64-bit)","C:\Program Files\Java\jdk-17\"
"Microsoft .NET Targeting Pack - 9.0.5 (x64)",""
"Microsoft Web Deploy 4.0",""
"Microsoft .NET AppHost Pack - 8.0.17 (x64_arm64)",""
"Microsoft .NET AppHost Pack - 9.0.5 (x64_x86)",""
"Microsoft.NET.Sdk.Android.Manifest-9.0.100 (x64)",""
"Microsoft SQL Server 2019 LocalDB ",""
"Microsoft ASP.NET Core 9.0.5 Targeting Pack (x64)",""
"Microsoft .NET Host - 9.0.6 (x64)",""
"Microsoft .NET Host FX Resolver - 9.0.6 (x64)",""
"Python 3.12.4 Add to Path (64-bit)",""
"Microsoft .NET AppHost Pack - 9.0.6 (x64)",""
"Python 3.12.4 pip Bootstrap (64-bit)",""
"Microsoft ASP.NET Core Module V2 for IIS Express",""
"Microsoft.NET.Sdk.macOS.Manifest-9.0.100 (x64)",""
"Microsoft ASP.NET Core 9.0.6 Shared Framework (x64)",""
"Microsoft.NET.Workload.Mono.Toolchain.net8.Manifest (x64)",""
"VS Script Debugging Common",""
"IntelliTraceProfilerProxy",""
"Microsoft .NET 8.0 Templates 8.0.411 (x64)",""
"Windscribe","C:\Program Files\Windscribe\"
"Microsoft ASP.NET Core Module for IIS Express",""
"Microsoft .NET Runtime - 9.0.6 (x64)",""
